,Movie_name,Popularity,rating,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19
0,Toy Story (1995),0.773584905660377,3.87831858407079,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,GoldenEye (1995),0.222984562607204,3.206106870229,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Four Rooms (1995),0.152658662092624,3.03333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,Get Shorty (1995),0.356775300171526,3.55023923444976,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4,Copycat (1995),0.145797598627787,3.30232558139534,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
5,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0.0428816466552315,3.57692307692307,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,Twelve Monkeys (1995),0.670668953687821,3.7984693877551,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7,Babe (1995),0.373927958833619,3.99543378995433,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
8,Dead Man Walking (1995),0.51114922813036,3.89632107023411,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,Richard III (1995),0.150943396226415,3.8314606741573,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
10,Seven (Se7en) (1995),0.403087478559176,3.84745762711864,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11,"Usual Suspects, The (1995)",0.456260720411663,4.38576779026217,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12,Mighty Aphrodite (1995),0.313893653516295,3.41847826086956,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Postino, Il (1994)",0.312178387650085,3.96721311475409,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
14,Mr. Holland's Opus (1995),0.500857632933104,3.77815699658703,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,French Twist (Gazon maudit) (1995),0.0651801029159519,3.2051282051282,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
16,From Dusk Till Dawn (1996),0.156089193825042,3.1195652173913,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
17,"White Balloon, The (1995)",0.0154373927958833,2.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,Antonia's Line (1995),0.116638078902229,3.95652173913043,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,Angels and Insects (1995),0.121783876500857,3.41666666666666,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
20,Muppet Treasure Island (1996),0.142367066895368,2.76190476190476,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
21,Braveheart (1995),0.507718696397941,4.15151515151515,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
22,Taxi Driver (1976),0.310463121783876,4.12087912087912,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
23,Rumble in the Bronx (1995),0.296740994854202,3.44827586206896,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,"Birdcage, The (1996)",0.500857632933104,3.44368600682593,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Brothers McMullen, The (1995)",0.123499142367066,3.45205479452054,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Bad Boys (1995),0.0960548885077186,3.10526315789473,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Apollo 13 (1995),0.471698113207547,3.93115942028985,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
28,Batman Forever (1995),0.193825042881646,2.66666666666666,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
29,Belle de jour (1967),0.0617495711835334,3.94594594594594,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,Crimson Tide (1995),0.262435677530017,3.62987012987012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
31,Crumb (1994),0.137221269296741,3.79012345679012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,Desperado (1995),0.164665523156089,3.45360824742268,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
33,"Doom Generation, The (1995)",0.0102915951972555,2.71428571428571,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
34,Free Willy 2: The Adventure Home (1995),0.0171526586620926,2.18181818181818,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,Mad Love (1995),0.0205831903945111,2.15384615384615,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
36,Nadja (1994),0.0120068610634648,2.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,"Net, The (1995)",0.204116638078902,3.00833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
38,Strange Days (1995),0.147512864493996,3.26436781609195,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
39,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",0.0960548885077186,2.89473684210526,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Billy Madison (1995),0.0617495711835334,3.08108108108108,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
